   # | Title                                    |    Video |   Transcription |  Screenshots | Status
----+------------------------------------------+----------+-----------------+--------------+----------
   1 | Phase_1_-_1._Intro_Video.mp4             |   216 MB |              ok |      pending | ⏭ skipped
   2 | Phase_1_-_3._Expectations.mp4            |   261 MB |              ok |      pending | ⏭ skipped
   3 | Phase_1_-_4._How_YouTube_Works.mp4       |   536 MB |              ok |      pending | ⏭ skipped
   4 | Phase_1_-_6._Position_Intro.mp4          |   243 MB |              ok |      pending | ⏭ skipped
   5 | Phase_1_-_7._How_To_Position.mp4         |   282 MB |              ok |      pending | ⏭ skipped
   6 | Phase_1_-_9._Audit_V2.mp4                |   268 MB |              ok |      pending | ⏭ skipped
   7 | Phase_1_-_10._Doing_Your_Tasks.mp4       |   130 MB |              ok |      pending | ⏭ skipped
   8 | Phase_1_-_Simple_Nurture.mp4             |    92 MB |              ok |      pending | ⏭ skipped
   9 | Phase_2_-_1._Intro.mp4                   |    83 MB |              ok |      pending | ⏭ skipped
  10 | Phase_2_-_2._Demo_Video.mp4              |   566 MB |              ok |      pending | ⏭ skipped
  11 | Phase_2_-_3._Teleprompter.mp4            |   258 MB |              ok |      pending | ⏭ skipped
  12 | Phase_2_-_4._Presenting.mp4              |   839 MB |              ok |      pending | ⏭ skipped
  13 | Phase_2_-_5._Edit_Demo.mp4               |    76 MB |              ok |      pending | ⏭ skipped
  14 | Phase_2_-_6._Uploading.mp4               |    68 MB |              ok |      pending | ⏭ skipped
  15 | Phase_3_-_1._Intro.mp4                   |    36 MB |              ok |      pending | ⏭ skipped
  16 | Phase_3_-_2._Secret_To_Great_Videos.mp4  |   197 MB |              ok |      pending | ⏭ skipped
  17 | Phase_3_-_3._Titles.mp4                  |   348 MB |              ok |      pending | ⏭ skipped
  18 | Phase_3_-_4._Thumbnail_Basics.mp4        |    82 MB |              ok |      pending | ⏭ skipped
  19 | Phase_3_-_4._Thumbnail_Strategy.mp4      |   175 MB |              ok |      pending | ⏭ skipped
  20 | Phase_3_-_5._Design_Basics.mp4           |   279 MB |              ok |      pending | ⏭ skipped
  21 | Phase_3_-_6._What_Option.mp4             |   119 MB |              ok |      pending | ⏭ skipped
  22 | Phase_3_-_7._Formats.mp4                 |   238 MB |              ok |      pending | ⏭ skipped
  23 | Phase_4_-_1._Intro.mp4                   |    59 MB |              ok |      pending | ⏭ skipped
  24 | Phase_4_-_2._The_Strategy.mp4            |   172 MB |              ok |      pending | ⏭ skipped
  25 | Phase_4_-_3._Research_Basics.mp4         |   167 MB |              ok |      pending | ⏭ skipped
  26 | Phase_4_-_4._Patterns.mp4                |   596 MB |              ok |      pending | ⏭ skipped
  27 | Phase_4_-_Update_Synthia.mp4             |    73 MB |              ok |      pending | ⏭ skipped
  28 | Phase_4_-_5._Ideation.mp4                |   340 MB |              ok |      pending | ⏭ skipped
  29 | AI_UPDATE_AI_Feedback_For_Ideas.mp4      |    38 MB |              ok |      pending | ⏭ skipped
  30 | Phase_5_-_1._Intro.mp4                   |   110 MB |              ok |      pending | ⏭ skipped
  31 | Phase_5_-_2._What_Makes_a_Great_Script.m |   125 MB |              ok |      pending | ⏭ skipped
  32 | Phase_5_-_3._Intros.mp4                  |   489 MB |              ok |      pending | ⏭ skipped
  33 | Phase_5_-_Update_Synthia.mp4             |    28 MB |              ok |      pending | ⏭ skipped
  34 | Phase_5_-_4._How_To_Write_Your_Intro.mp4 |    60 MB |              ok |      pending | ⏭ skipped
  35 | Phase_5_-_5._Making_Points.mp4           |   214 MB |              ok |      pending | ⏭ skipped
  36 | Phase_5_-_6._Visual_Demos.mp4            |   508 MB |              ok |      pending | ⏭ skipped
  37 | Phase_5_-_7._Story.mp4                   |   700 MB |              ok |      pending | ⏭ skipped
  38 | Phase_5_-_8._Metaphor.mp4                |   203 MB |              ok |      pending | ⏭ skipped
  39 | Phase_5_-_9._Logic.mp4                   |   515 MB |              ok |      pending | ⏭ skipped
  40 | Phase_5_-_10._End_Screen.mp4             |   139 MB |              ok |      pending | ⏭ skipped
  41 | AI_UPDATE__Intro_Feedback.mp4            |    95 MB |              ok |      pending | ⏭ skipped
  42 | Phase_5_-_11._Conversion_Optimisation.mp |   211 MB |              ok |      pending | ⏭ skipped
  43 | Phase_5_-_12._Planning.mp4               |    78 MB |              ok |      pending | ⏭ skipped
  44 | Phase_5_-_13._Writing_v2.mp4             |   297 MB |              ok |      pending | ⏭ skipped
  45 | Set_ups_and_pay_offs.mp4                 |   124 MB |              ok |      pending | ⏭ skipped
  46 | Short_Process.mp4                        |   126 MB |              ok |      pending | ⏭ skipped
  47 | Case_Study.mp4                           |   187 MB |              ok |      pending | ⏭ skipped
  48 | Roasts.mp4                               |   196 MB |              ok |      pending | ⏭ skipped
  49 | Deep_Dive.mp4                            |   254 MB |              ok |      pending | ⏭ skipped
  50 | Interviews.mp4                           |   197 MB |              ok |      pending | ⏭ skipped
  51 | News.mp4                                 |    73 MB |              ok |      pending | ⏭ skipped
  52 | Listicles.mp4                            |   128 MB |              ok |      pending | ⏭ skipped
  53 | Phase_6_-_1._Intro.mp4                   |    73 MB |              ok |      pending | ⏭ skipped
  54 | Phase_6_-_2._Measurement_Myths.mp4       |   145 MB |              ok |      pending | ⏭ skipped
